TITLE,TIME,CATEGORY,DESCRIPTION,CONTENT,KEYWORDS,FROM,LINK
"台積電貼息 台股跌72.73點收10,706",2019/6/25 13:43,股市,美伊地緣政治緊張升溫，美股昨夜漲跌互見，而亞股今日表現疲弱，台股以小跌開出後，指數一度翻紅小漲，惟台積電盤中呈現貼息走...,"台股終場以10,706.72點作收，下跌72.73點。圖／聯合報系資料照片 分享   facebook      
 
美伊地緣政治緊張升溫，美股昨夜漲跌互見，而亞股今日表現疲弱，台股以小跌開出後，指數一度翻紅小漲，惟台積電盤中呈現貼息走勢，助漲空方氣勢，指數盤中再度翻黑走跌，不僅跌破五日均線並回測10,700點支撐，最低一度至10,693.04點，而終場以10,706.72點作收，下跌72.73點，成交量996.3億元。 
昨日美股開高走低，由於美國總統簽屬行政命令，對伊朗領導人實施進一步制裁，使得地緣政治緊張升溫，加上市場等待周末G20川習會，觀望氣氛濃厚壓抑股市呈狹幅弱勢震盪，終場四大指數漲跌互見。而觀察今日亞洲主要股市表現全盤皆墨，韓股開高震盪走低，盤中僅呈現小跌，表現最為強勢，日、台股開低震盪走低，陸股及港股則開低走低，盤中跌幅皆逾1%，上證指數失守3000元大關。 
觀察今日盤中台灣50成分股表現，台積電昨日進行除息，惟在美中貿易戰影響下，產業大環境不佳，市場預期台積電下月法說會將下修全年營運展望，昨日三大法人合計賣超台積電1.27萬張，使得台積電今日開低震盪走低，盤中走跌逾1％，呈現貼息態勢，而股王大立光走跌逾2%，台達電走跌逾2％，聯發科走跌逾1.4%，鴻海也有0.6%的跌幅，表現較好的如可成走揚0.6%，富邦金、中信金、台塑也呈現小漲。 
而盤面上其餘焦點族群部分，由於正值食品旺季，加上禽流感再現，雞肉評價提升，激勵卜蜂今日漲幅逾6%，並帶動食品族群漲勢，包括大成走揚4.5%、泰山、鮮活-KY、聯華、味全等盤中也有1-2%不等間的漲幅。 
另美國總統川普正評估規定美國境內使用的第五代通訊技術（5G）行動設備，必須在中國以外地區設計與生產，市場看好智邦、啟碁等網通廠已陸續完成非中國新產能建置，可望順勢承接大單，其中智邦更打入AT&T電信白牌網路架構供應鏈，帶動今日股價走揚逾5%，啟碁也有逾1%的漲幅等等。","台積電,台股",聯合新聞網,https://udn.com/news/story/7251/3891553
朱立倫：三人同一心烏土變黃金 他是最大公約數,2019/6/25 21:49,要聞,國民黨今天在高雄舉辦總統初選首場國政願景電視發表會，5位初選參選人同台針對國政發表政見，在首輪政見發表，最後一個發表政...,"新北市前市長朱立倫今晚由兒子陪同參加國民黨總統初選首場國政願景說明會。記者劉學聖／攝影 分享   facebook     國民黨今天在高雄舉辦總統初選首場國政願景電視發表會，5位初選參選人同台針對國政發表政見，在首輪政見發表，最後一個發表政見的新北市前市長朱立倫表示，高雄市長韓國瑜日前提出國防靠美國、科技靠日本、市場靠中國、努力靠自己，而鴻海董事長郭台銘回應國防靠和平、市場靠競爭、技術靠研發、命運靠自己，他則認為，「台灣靠民主、和平靠智慧、經濟靠開放、勝利靠團結」。 
朱立倫在政見發表階段，就將對象指向郭台銘，他表示，在郭台銘出來前，每個人都說朱立倫是財經專家、招商市長，今天郭台銘直接說，自己就是台灣的第一人，郭的很有信心他很佩服，但是拚私人產業、企業和拚國家整體經濟，還是需要大家一起來。「不是成為最大的企業，就表示最懂經濟、財經」。 
朱立倫表示，希望中華民國未來要有正常的國際關係、兩岸關係、國防、憲政以及司法的制度。民主是台灣最重要的基石，台灣人都過著民主自由的生活，無人可以接受改變民主或民主被剝奪。民主自由、人權法治是普世價值、台灣基礎，兩岸關係要秉持這樣的原則，不用害怕得罪北京。 
他說，在兩岸立場上，堅持民主自由的中華民國，就是他的立場也應該是國民黨的立場，兩岸關係要的是民主、和平、繁榮，民主絕對不能被改變，不能受到任何個人、政黨因素影響。兩岸關係除堅持中華民國民主自由的體制，也反對台獨、獨裁及一國兩制。 
朱立倫表示，他做過兩屆桃園縣的縣長，兩屆新北市的市長。大家都知道，不論桃園還是新北市，有很多我們河洛、客家、外省、原住民的朋友，甚至很多新住民的朋友，來到這些城市，整體而言就是台灣的縮影，我們都是這個大家庭的一份子。他深刻地體會大家要能夠團結一心，就是能夠融合不同的族群。 
朱立倫表示，閩南語有一句話，「三人同一心，烏土變黃金」。用客家話說，「兄弟一條心，黃泥變黃金」，這句話的意思就是：「只要大家團結，泥土也可以變成黃金。」台灣要更好，大家一定要團結，團結不一定會勝利、但是勝利一定要靠團結。 
另外，朱立倫也在一開頭就表示，聽了一個小時的朗誦演講比賽的，大家的確蠻辛苦的。而韓國瑜看起來有點緊張，地主要輕鬆點，也建議郭台銘的稿子應該寫長一點，因為發言的時間還夠。 
朱立倫指出，他在抵達會場下車時，看到他的同事、朋友都穿著國民黨的衣服，但看到郭台銘、韓國瑜的支持者都穿各自的衣服，可是三週後大家不應都是國民黨嗎？他向台下聆聽的國民黨主席吳敦義建議，下一場政見會應該限制只能穿國民黨衣服，大家才能團結一致，也相信大家都會支持。","朱立倫,郭台銘,2020選舉,國民黨",聯合新聞網,https://udn.com/news/story/12653/3892562
對韓國瑜喊話 郭台銘：高雄不能丟,2019/6/25 22:03,要聞,國民黨總統初選第一場國政願景電視發表會，今晚在高雄登場。在針對憲政答題階段，鴻海前董事長郭台銘批評，蔡英文總統依中華民...,"郭台銘出席國民黨總統初選國政願景發表會。圖取自聯合新聞網 分享   facebook     國民黨總統初選第一場國政願景電視發表會，今晚在高雄登場。在針對憲政答題階段，鴻海前董事長郭台銘批評，蔡英文總統依中華民國憲法宣誓就職，但她心中沒有中華民國、違法亂紀，民進黨一直以來存在目的就是消滅國民黨、中華民國，在年改挑撥世代對立，人民權利無法被保護；2020年他一定會把蔡英文領導的民進黨政府拉下台，維護中華民國憲法。 
郭台銘指出，最近紐約時報形容他在美中之間走鋼索，事實上中華民國從他出生前一年就走在鋼索上，這條鋼索一頭拉在華盛頓手上，一頭拉在北京手上，擺脫不了被兩邊搖晃的命運，中華民國要找回自主性，台灣有實力成為重建美國供應鏈的夥伴，也有能力協助北京轉型成功，就缺一個懂的領導人。?他是唯一有實務經驗來和美中周旋談判的人，「我懂美國、懂兩岸、懂經濟和科技，讓我們一起打造一座通往經濟和科技的大橋。」 
郭台銘也對國民黨支持者喊話，我們想要在2020年勝選，除了鐵桿支持者，需要更多年輕人和中間選民，「我知道韓市長要參選總統，是個非常不容易的決定，」就像他必須割捨鴻海，也為鴻海找到好的班人，「國民黨2020要勝選，高雄不能丟。」 
郭台銘說，去年民進黨搶了菜攤、丟了江山，如今韓市長受到的質疑，是所有國民黨支持者要一起面對的危機，國民黨初選不是權貴和庶民戰爭，「我黑手出身、白手起家，我的成功代表任何台灣人只要努力就有機會出頭天，我不認同用階級對立方式激化選情、 撕裂台灣，」中華民國贏，國民黨才能贏。","國民黨,郭台銘",聯合新聞網,https://udn.com/news/story/12653/3892577
國民黨總統初選首場政見會 楊秋興到場挺郭台銘,2019/6/25 20:57,要聞,國民黨總統選舉黨內初選首場國政願景電視發表會今天在高雄市舉行，前高雄縣長楊秋興今天也到場觀看這場發表會，他表明為參選的...,"國民黨總統選舉黨內初選首場國政願景電視發表會今天在高雄市舉行，前高雄縣長楊秋興今天也到場觀看這場發表會，他表明為參選的鴻海集團前董事長郭台銘加油。楊秋興說，國民黨部說今天這場政見會在高雄市舉辦，希望能關心一下。 
已表明支持郭台銘的楊秋興說，台灣需要一位企業家來帶領台灣，台灣的經濟20年原地踏步，年輕人感覺沒有希望；台灣政治太多，台灣如果有企業家來帶領，台灣的經濟發展會起飛。 
他表示，郭台銘是最好的人選，台灣不能喪失這次的機會；20年了，台灣很難得有企業家來帶領，這是第一次，他很期待。國民黨總統選舉黨內初選首場國政願景說明會今天在高雄市舉行，前高雄縣長楊秋興到場挺參選人郭台銘。記者劉學聖／攝影 分享   facebook","楊秋興,郭台銘,2020選舉",聯合新聞網,https://udn.com/news/story/12653/3892437
小米推新品 供應鏈沾光,2019/6/25 23:32,股市,搶暑假商機，小米台灣昨（25）日在台發表小米9T智慧手機及小米手環4，新品將自7月起開賣，有利小米供應鏈英業達（2356）、友達、中華電、聯發科、新鉅科等表現。,"搶暑假商機，小米台灣昨（25）日在台發表小米9T智慧手機及小米手環4，新品將自7月起開賣，有利小米供應鏈英業達（2356）、友達、中華電、聯發科、新鉅科等表現。 
小米台灣總經理羅燕表示，目前線上與線下銷售額占比約各一半，第3季將有新的通路夥伴加入，年底前會新增三到五家的實體通路。 
小米過去以線上通路為主，後來拓展實體通路，並積極串連線上及線下的新零售營運模式。羅燕表示，台灣市場實體通路部分，除原有門市的營收成長，在有新門市加入下，有助帶動銷售額持續成長。 
小米概念股包括鴻海旗下富智康、英業達、友達、中華電、聯發科、新鉅科、遠傳、網家等。昨天發表的小米9T，電信通路將在遠傳獨家開賣。","小米手環,中華電,遠傳",聯合新聞網,https://udn.com/news/story/7253/3892457
韓郭朱周張先禮後兵 國民黨首場政見會登場,2019/6/25 20:24,要聞,2020國民黨總統初選首場國政願景電視發表會今晚登場。5位參選人郭台銘、韓國瑜、朱立倫、周錫瑋、張亞中先禮後兵，在黨主席...,"國民黨晚上在高雄舉辦總統初選國政願景電視發表會，開始前黨主席吳敦義與候選人朱立倫（左一）、郭台銘（左二）、張亞中（右三）、韓國瑜（右二）、周錫瑋（右一）互相握手致意。記者葉信菉／攝影 分享   facebook     2020國民黨總統初選首場國政願景電視發表會今晚登場。5位參選人郭台銘、韓國瑜、朱立倫、周錫瑋、張亞中先禮後兵，在黨主席吳敦義帶領下，手牽手高喊「加油」之後，針對憲政、外交、兩岸及國安等4大議題正式交鋒。 
國民黨總統初選競爭激烈，共有5位參選人，包括前鴻海董事長郭台銘、高雄市長韓國瑜、前新北市長朱立倫、前台北縣長周錫瑋、孫文學校總校長張亞中。 
國民黨將舉辦3場國政願景電視發表會，首場今天晚上8時在高雄國際會議中心舉行，聚焦4大議題，包括憲政、外交、兩岸及國安，主持人為知名主播沈春華。 
電視發表會分為兩部分，第一階段由參選人針對這次主題發表意見，每人12分鐘，依序為周錫瑋、韓國瑜、張亞中、郭台銘、朱立倫；第二階段為主持人提問，題目事先公布，並現場抽取2題，每人回答3分鐘。 
第一題回答順序為，朱立倫、郭台銘、張亞中、韓國瑜、周錫瑋；第二題回答順序為，郭台銘、張亞中、韓國瑜、周錫瑋、朱立倫。","韓國瑜,朱立倫,郭台銘",聯合新聞網,https://udn.com/news/story/12653/3892392
國民黨國政發表會 韓提發財外交、郭打和氣生財,2019/6/25 21:36,要聞,國民黨今（25）日晚間舉行首場國政願景發表會，韓國瑜再提「發財外交」、「經貿外交」，強調未來外交一定經濟掛帥；郭台銘表...,"國民黨今（25）日晚間舉行首場國政願景發表會，韓國瑜再提「發財外交」、「經貿外交」，強調未來外交一定經濟掛帥；郭台銘表示其競選中心思想就是「和平、安定、經濟、未來」，強調台灣是貿易之島，和氣生財，賺錢有理；朱立倫點名郭，表示能成為最大企業，不代表就是懂經濟，他還要與郭多交流。 
韓國瑜在首輪發表中指出，未來外交一定要經濟掛帥，不再是凱子外交，他要將之發展成「發財外交」與「經貿外交」。他說，民進黨只看到東邊是美、日，卻忘記地球是圓的，往西邊是中國大陸、東南亞、印度、非洲，他要朝「西望外交」發展。 
韓國瑜表示，我國外交人員發展非常狹隘，不是因為不聰明、不努力，而是非常困難，所以外交需調整為經濟與貿易，否則有85%企業無法自己接單、90%東西稅比別人貴，未來外交一定要經濟掛帥。 
韓國瑜再次提起「發出來，打出去」，他表示有人質疑他是學毛澤東，但這是武俠小說用語，是要打出去所有外部我國重視的市場，由所有外交官經貿人員幫助我國中小企業，尋找所有商業機會。 
郭台銘重申他沒特別本事，就是會經營企業、務實地賺錢，並自豪地說他懂經濟、懂產業、懂國際、懂國家發展要有經濟戰略高度，放眼目前檯面上政治人物，他是經濟戰略與產業佈局第一人選。 
郭台銘說，如果可確保兩岸和平，增加兩岸互信，和平可帶來安定環境，安定可帶來經濟發展，人民生活有保障，社會安和樂利，這就是大家所期望的。他強調，在兩岸關係上，就是「大陸不鴨霸、台灣不挑釁」。 
郭台銘指出，台灣每年從兩岸貿易賺進800億美元順差，若無和平、穩定的兩岸關係，這順差很難持續；他也說，台灣是貿易之島，和氣生財，賺錢有理，只要有尊嚴，他們就要賺錢，賺錢才可以壯大台灣。 
朱立倫則表示，他希望「台灣要靠民主、和平要靠智慧、經濟要靠開放、勝利要靠團結」。他說，第一優先絕對是民主，絕不受任何個人或政黨因素影響，對於兩岸關係，他堅持中華民國是民主自由的憲政體制，並反對台獨、獨裁與一國兩制。 
朱立倫隔空向郭台銘喊話，表示拚私人產業與拚經濟還是要大家一起來，（鴻海）能成為大企業，不代表就是懂經濟，若未來有時間還要與郭多交流。","韓國瑜,朱立倫,兩岸關係,2020選舉,郭台銘",聯合新聞網,https://udn.com/news/story/12653/3892552
郭台銘展現效率 國民黨政見會最早到場認真彩排,2019/6/25 16:07,要聞,國民黨總統選舉黨內初選首場國政願景電視發表會今天在高雄市鹽埕區高雄國際會議會中心舉行，參選人鴻海集團前董事長郭台銘下午...,"國民黨總統選舉黨內初選首場國政願景電視發表會今天在高雄市鹽埕區高雄國際會議會中心舉行，參選人鴻海集團前董事長郭台銘下午3點不到就到現場「彩排」，和轉播的電視台工作人員不斷討論如何對鏡頭、進出場、政見發表如何進行，相當認真。「果凍團隊」說，郭台銘政見會時會穿太太曾馨盈幫他搭配的西裝，曾馨盈今天不會到場。 
主辦這場國政願景電視發表會的國民黨中央黨部、負責轉播的TVBS原本安排參選人會前受訪是下午6點以後，郭台銘下午2點左右即搭高鐵到高雄，2點56分到高雄國際會議中心，立即進入發表會場會了解政見會進行情形，也即彩排，不管麥克風?。 
到達高雄國際會議中心時，郭台銘穿湖水綠的POLO衫，頭戴深色國旗帽，和最近走基層的穿著接近，走休閒、親近民眾風格，但發表會時會換穿正裝。 
對於這場國政願景政見發表會，郭台銘表示很緊張，日前他受訪時即談過，今天的議題是憲政、外交、兩岸和國安，自己對外交、憲政不熟，19日寫了一些內容，被團隊的小編以看不懂打回票，他試著用溫暖和淺顯易懂的文字告訴大家「郭董懂大家」。 
他24日表示，23日晚上和小編們準備辯論稿到凌晨2點才休息，但今天參選人沒有直接辯論，可能變成演講比賽，他說自己是個務實的人，不會為演講而演講；並形容自己是白居易，不是杜甫，會講很淺顯易懂的內容，讓民眾理解。 
為了在今天的國政願景政見會中表達對各個議題的充實內容，郭台銘最近諮詢不少老朋友，包括行政院前院長毛治國，前文建會主委盛治仁、行政院前政務委員朱雲鵬等。 
郭台銘今天的應援團，有桌球好手莊智淵、高雄市小林村民和他曾協助創業的青年企業人士，他的團隊說，永齡基金會一直幫助莊智淵和喜歡桌球的孩子，八八風災之後基金會在杉林設永齡農場，幫助許多小林村民。國民黨總統選舉黨內初選首場國政願景電視發表會今天在高雄市鹽埕區高雄國際會議會中心舉行，參選人鴻海集團前董事長郭台銘（中）下午3點不到就到現場。記者楊濡嘉／攝影 分享   facebook     國民黨總統選舉黨內初選首場國政願景電視發表會今天在高雄市鹽埕區高雄國際會議會中心舉行，參選人鴻海集團前董事長郭台銘認真彩排。記者楊濡嘉／攝影 分享   facebook","郭台銘,願景,行政院,2020選舉,國民黨",聯合新聞網,https://udn.com/news/story/12653/3891890
郭台銘：選對人 比一堆漂亮白皮書重要！,2019/6/25 22:06,要聞,國民黨總統初選第一場國政願景電視發表會，今晚在高雄登場，聚焦憲政、外交、兩岸及國安議題。鴻海前董事長郭台銘表示，他這次...,"國民黨今天在高雄舉辦總統初選國政願景電視發表會，參選人郭台銘步入會場。記者葉信菉／攝影 分享   facebook     國民黨總統初選第一場國政願景電視發表會，今晚在高雄登場，聚焦憲政、外交、兩岸及國安議題。鴻海前董事長郭台銘表示，他這次競選的中心思想就是和平、安定、經濟、未來，如果我們可以確保兩岸和平，增加兩岸互信，和平是不是可以帶來安定的環境？安定是不是可以帶來經濟的發展？人民生活有保障，社會安和樂利，這就是大家所期望的。 
郭台銘指出，國際情勢一日數變，全世界都面臨衝擊，明年的總統選舉對台灣太重要了，這幾個月走訪台灣各地，感受到台灣真是一個好地方，缺的只是一位務實、有能力的好總統。他走遍世界，和多少國際的企業家朋友一起合作、開創事業，他和多少國家的元首領袖握過手、成為朋友，「我不是傳奇，我能成功是因為我有不服輸的台灣精神，也有一份台灣中小企業，提著皮箱闖天下的勇氣。」 
郭台銘表示，什麼是決定國家治理成功的關鍵因素？是領導力決定了國政願景的成功或失敗，選對人，比一堆漂亮的白皮書更重要。他敢「改變」、「創新」、「用人」，「現在，我，郭台銘 來了！」 
郭台銘說，他要向渴望改變的民眾說「我來了，以後就要不一樣！」首先在兩岸關係上，就要不一樣，「大陸不鴨霸、台灣不挑釁」，每年台灣從兩岸貿易中賺近800億元美金的順差，如果沒有和平、穩定的兩岸關係，這樣的順差是很難持續的。 
他主張，兩岸一定要和平，和平要有共識。九二共識、一中各表，重點在「各表」，沒有「各表」，就沒有共識，這就是我的堅持。台灣是貿易之島，和氣生財、賺錢有理，只要有尊嚴，我們就要賺錢，賺錢才可以壯大台灣。 
郭台銘提到，香港反送中之後，民進黨大作文章，說「今日香港，明日台灣」，他認為這是沒志氣、自我矮化的說法。因為一國兩制，從來就不適用於台灣。蔣經國總統早在1982年就說過「反對一國兩制，」台灣的民主制度是我們的驕傲，也是我們的堅持。郭台銘說，他做總統，向大家保證，一國兩制絕對不會在台灣發生。","郭台銘,一國兩制,香港,2020選舉,國民黨",聯合新聞網,https://udn.com/news/story/12653/3892578
台積電貼息拖累台股收跌72.73點 三大法人賣超22億,2019/6/25 15:22,股市,"台股今（25）日開低震盪，權王台積電（2330）陷入貼息窘境，拖累大盤跌勢加重，盤中一度失守10,700點，終場以10...","台積電陷入貼息窘境，拖累大盤跌勢加重。聯合報系資料照 分享   facebook     台股今（25）日開低震盪，權王台積電（2330）陷入貼息窘境，拖累大盤跌勢加重，盤中一度失守10,700點，終場以10,706.72點作收，下跌72.73點，成交量996.3億元；三大法人賣超22億元，僅投信呈現買超。 
統計三大法人買賣超情況，外資及陸資（不含外資自營商）賣超19.99億元，投信買超2.58億元，自營商賣超（合計）4.59億元，其中自營商（自行買賣）買超2.22億元，自營商（避險）賣超6.82億元。 
台股今日以10,777.18點開低，雖一度拉升翻紅至10,787.62點，但是電子股走弱，台積電開平走低，陷入貼息，收238.5元，跌幅1.03%，大立光、鴻海也是下跌作收，網通股在5G題材下走揚，智邦強漲，但盤中指數一度失守10,700點下滑至10,693.04點，終場收10,706.72點，跌幅0.67%。","自營商,台積電,台股",聯合新聞網,https://udn.com/news/story/7251/3891768
