TITLE,TIME,CATEGORY,DESCRIPTION,CONTENT,KEYWORDS,FROM,LINK
鴻海董座：5G浪潮下 世界工廠將消失,2019/11/1 23:39,產經,全球第一大電子代工廠鴻海公司董事長劉揚偉昨天指出，5Ｇ新商業模式就是機會，這是一個最好的時代、也是最壞的時代，做不好就會被拋棄；台灣產業必須重視產品經理人，從客戶需求角度出發，拋棄以往電子業降低成本思維導向。他三度表示，面對5Ｇ浪潮，台灣產業「千萬不能只做代工」。,"鴻海集團董事長劉揚偉。 圖／鴻海提供 分享   facebook      
全球第一大電子代工廠鴻海公司董事長劉揚偉昨天指出，5G新商業模式就是機會，這是一個最好的時代、也是最壞的時代，做不好就會被拋棄；台灣產業必須重視產品經理人，從客戶需求角度出發，拋棄以往電子業降低成本思維導向。他三度表示，面對5G浪潮，台灣產業「千萬不能只做代工」。 
鴻海早已看到未來科技轉變，從傳統代工業跨入到AI、智慧製造、精準醫療等領域，此外，鴻海集團旗下專攻工業電腦、工業互聯網的樺漢科技也從過去以POS、ATM系統起家，形成品牌、系統整合及代工三大事業區塊。 
劉揚偉昨天出席台大主辦的「ITxM高峰論壇」-5G行動大未來，並以「5G時代的變局與機會」為題演講，這是他接任鴻海董事長後首次面對學生。他說，5G時代是一百倍速的時代，5G也啟動工業四．○時代，最關鍵的轉變就在數位轉型。 
劉揚偉引述研究機構IHS Markit報告說，二○三五年全球5G產值十二點三兆美元，相當於二○一六年所有美國消費者全部支出；但他連三次呼籲，台灣產業「千萬不能只做代工」。 
劉揚偉說，5G對鴻海也是大挑戰，他開玩笑形容，「如果大家沒能跨過挑戰，那大家就在非洲見。」談到5G技術應用的重要，他說，這是科技地位的爭奪戰、也是國家戰略產業的經濟競賽，更是全球產業鏈重構的開始，預期未來世界工廠不會再存在，製造業要開闢新的商業模式。 
劉揚偉表示，大家都在猜未來5G產品長什麼樣，但以人類有五千年歷史，其實需求從來沒改變過，用中國話講，就是食、衣、住、行、育、樂、生、老、病、死，如何把5G帶進這十個領域。 
鴻海為5G規格制定的參與者，劉揚偉說，未來誰率先掌握新的產業鏈遊戲規則，誰就能在產業鏈重構中占據主動，更能占據全球產業鏈高利潤環節。此外，不跟上5G潮流，就會被拋棄；產業高階主管應該要思考以往的降低成本思維。 
劉揚偉以鴻海為例指出，在智慧製造目標中，以實現5G網絡垂直應用為目標，讓未來的工廠能融合數位虛擬和物理現實，透過海量感測器、產生出海量大數據，讓AI隨時在線分析學習，馬上將決策傳回位於全球的生產設備、機器人、設計研發與供應商。 
劉揚偉也期許學生要敢於夢想偉大。台灣科技業因PC時代崛起而成功，卻也因為這成功的商業模式失去創造力，大家應該強調未來所創造的理想價值、貢獻及如何解決問題，不要拘泥於過去的營收報表。他說，在百倍速時代與時俱進的充實自己，Dream big是這個時代最有價值的投資。","鴻海,劉揚偉,5G,互聯網,樺漢科技,機器人",聯合新聞網,https://udn.com/news/story/7240/4139689
10月權證熱 繳出雙成長,2019/11/1 15:50,股市,證交所公布，10月券商受託交易權證總額465.6億元，月增12%，年增11%，繳出雙成長；累計前十月，券商受託交易總額為...,"證交所公布，10月券商受託交易權證總額465.6億元，月增12%，年增11%，繳出雙成長；累計前十月，券商受託交易總額為4,028.7億元，年減29%。 
 
10月台股飆上29年新高，成交額也擴大到2.7兆元，較9月2.2兆元大成長，權證交易也轉活絡。 
 
證交所統計上個月，券商共發行2,855檔權證，發行總額343.5億元，受託買賣總額465.6億元，全數較9月增長。 
 
10月發行檔數前五大券商，包括元大證券發行640檔、凱基證券565檔、群益金鼎證券262檔、永豐金證券253檔、統一證券185檔；受託買賣前五大券商，則依序為元大證券154億元、群益金鼎證券130億元、元富證券112億元、凱基證券105億元以及永豐金證券92億元。 
 
單月十大熱門連結標的，除了市值飆新高的台積電（2330），還有台股指數、聯發科、鴻海、大立光、國巨、元大S&P原油正2、華新科、可成及旺宏等，以強勢電子股為大宗。 
 
累計前十月，國內券商則發行22,343檔權證，發行總額2,753.8億元，受託買賣總額4,028.7億元，較去年同期的5,716億元，下滑約三成。 
 
受託買賣的十大券商，依序有元大證券1,418億元、群益金鼎證券1,197億元、凱基證券1,071億元、永豐金證券766.7億元、元富證券766.6億元、康和證券478億元，再次為統一證券368億元、富邦證券326億元、國泰證券293億元以及國票證券259億元。","凱基證,元大",聯合新聞網,https://udn.com/news/story/7255/4139089
京鼎、訊芯 認購吸睛,2019/11/1 23:11,股市,"台股大盤指數看回不回持續攻高，昨（1）日上漲40.8點，收在最高點11,399.5點，周線連三紅；盤面上，鴻海挾旗下富智康、工業富聯財報利多，帶量轉強攻高，大漲5%，並帶旺泛鴻海集團股行情，當中京鼎（3413）、訊芯-KY（6451）10月以來漲逾40%，表現最為強勁。","京鼎董事長劉揚偉。 本報系資料庫 分享   facebook     台股大盤指數看回不回持續攻高，昨（1）日上漲40.8點，收在最高點11,399.5點，周線連三紅；盤面上，鴻海挾旗下富智康、工業富聯財報利多，帶量轉強攻高，大漲5%，並帶旺泛鴻海集團股行情，當中京鼎（3413）、訊芯-KY（6451）10月以來漲逾40%，表現最為強勁。 
半導體設備廠京鼎第3季營收季增逾6%，營運表現逐步回溫，加上第4季步入自動化設備傳統出貨旺季，下半年營運可望優於上半年，激勵買盤積極進駐，股價自10月中即沿5日均線上揚。 
受惠半導體設備客戶急單湧入，京鼎8、9月業績逐月上揚，9月營收6.19億元，月增2.6%，儘管仍年減8.8%，不過年減幅度已較前幾個月縮小，並為八個月新高，累計前九月營收50.23億元，年減32%。 
展望本季，法人看好由於是京鼎自動化設備傳統出貨旺季，預期整體業績可望持續向上，明年隨著記憶體市況回穩，半導體設備業務可望比今年好轉。 
系統模組封裝廠訊芯切入量產100G和400G光收發模組系統級封裝（SiP），打進5G相關功率放大器（PA）和毫米波天線等系統級封裝供應鏈。 
訊芯指出，為經營業務需求以及因應集團營運規劃所需，未來並持續擴大投資營運，越南子公司主要生產及銷售光纖收發模組。展望今年業績，法人預估，訊芯有機會超過56億元，並站上歷年次高。 
權證發行商建議，看好京鼎、訊芯後市的投資人，可買進價外15%以內、距離到期日90天以上的權證，參與行情。 經濟日報／提供 分享   facebook","半導體,營收",聯合新聞網,https://udn.com/news/story/7255/4139775
美系外資二大理由喊買鴻海 目標價上看百元,2019/11/1 14:21,股市,鴻海（2317）9月及第3季合併營收雙創歷史同期新高，美系外資表示，iPhone 11系列銷售優，加上旗下富智康第3季轉...,"鴻海（2317）9月及第3季合併營收雙創歷史同期新高，美系外資表示，iPhone 11系列銷售優，加上旗下富智康第3季轉盈，重申鴻海加碼評等，目標價100元，看好鴻海是亞洲下游硬體產業首選個股；鴻海今（1）日開高走高，收在84.8元，上漲4.2元，漲幅5.21%，成交量爆出12萬3,142張；在股價走揚下，鴻海10月以來，市值增加1,691.28億元。 
 
美系外資最新報告指出，富智康今年前9月淨損6,500萬美元，較今年上半年淨損8,400萬美元少，顯示出第3季已由虧轉盈，獲利的速度比市場預期來的快，轉盈的關鍵包括重整Nokia智慧手機事業、改善產品組合、營業費用降低、匯損減少、智慧手機新品發表等，預期可望自第3季起維持獲利。 
 
鴻海9月營收5,877.9億元，續創歷史同期新高，月增47%，年增0.49%；合計第3季營收1兆3,845億元，同創同期新高；累計今年前九個月營收3兆6,014.9億元，年增3.3%。 
 
蘋果iPhone 11系列開賣，市場傳出追單好消息，法人看好蘋果供應鏈可望進一步受惠；隨著iPhone 11熱賣，加上歐美聖誕銷售旺季的挹注，法人預估鴻海旺季效應可望延續到11月，看好鴻海全年營運高峰可望落在第4季。 
 
鴻海連14個交易日獲外資買超，合計10月買超23萬1,865張，今日股價開高走高，早盤以81.4元開高，隨著買單進場拉升股價收在今日最高的84.8元，市值增達1兆1,755億元，股價創下五個多月來的波段高點，統計從10月來股價走高，市值增加1,691.28億元。","鴻海,營收,iPhone 11,智慧手機",聯合新聞網,https://udn.com/news/story/7251/4138880
外資連15買 本周買超逾萬張16檔個股出列,2019/11/1 18:13,股市,"台股今(1)日企圖衝關11,400點，終場收11,399.53點，再刷新逾29年波段新高，三大法人買超99.12億元，其...","台股今(1)日企圖衝關11,400點，終場收11,399.53點，再刷新逾29年波段新高，三大法人買超99.12億元，其中外資買超87.87億元，連續15天買超，平了2016年7月7~28日的紀錄，合計買超1,224.3億元；本周買超個股中，以鴻海(2317)73,591張居冠，買超逾萬張公司則有16家，以權值股、龍頭股、金融股居多。 
 
台股今日開高震盪，以11,373.7點開出，權王台積電震盪，盤中一度翻黑尾盤翻紅作收，鴻海則是開高走高衝上5個多月波段高，推升指數收在今日的最高點，終場以11,399.53點作收，上漲40.82點，成交量1,332.48億元，周線連三紅，周指數上漲103.41點，漲幅0.92%；三大法人買超99.12億元，其中外資買超87.87億元，投信賣超2.98億元，自營商買超（合計）14.23億元。 
 
外資是本波台股上攻的主要動能，統計從10月14日以來，已連續15天買超台股，是繼2016年7月7~28日連買之後，再度出現連續買超台股15天的紀錄，合計買超1,224.3億元，2016年的15買金額為1,653.3億元。 
 
統計外資本周買超個股中，買超逾萬張的個股依序是鴻海、台積電、聯電、中信金、開發金、日月光投控、台郡、中鋼、燿華、廣達、和碩、玉山金、臺企銀、聯發科、南亞等16家公司。 
 
鴻海是今日的焦點股，股價收在今日最高的84.8元，上漲4.2元，漲幅5.21%，成交量爆出12萬3,142張，外資今日買超47,987張，已連續15天買超鴻海，合計買超28萬5,178張；鴻海股價走揚，10月以來市值增加1,691.28億元，增達1兆1,755億元。 
 
台積電日前盤中曾衝上301.5元的歷史天價，今日開高震盪，盤中一度翻黑，終場則是收在299元，上漲0.5元，漲幅0.16%，外資今日買超台積電6,384張，已是連續買超11個交易日；創辦人張忠謀明日將出席台積電運動會，引來外界關注。 
 
台積電股價由去年張忠謀退休時的229元，今日收在299元，股價及市值都成長超過3成，市值由5.93兆元增至7.75兆元，市值增加1.81兆元，雙首手接班後的表現超出預期，再創台積電奇蹟。 
 
群益奧斯卡基金經理人朱翡勵指出，台股多頭看法不變，但考量國際政經雜音仍未消除，市場易受消息面影響造成波動，投資操作上建議著重選股，可布局趨勢明確的5G、IC設計、散熱等族群，另外，逢低也可適度配置低基期傳產股。 分享   facebook","台積電,台股",聯合新聞網,https://udn.com/news/story/7251/4139389
外資湧入 台股表現可望創10年來最佳,2019/11/1 23:42,股市,彭博資訊報導，台灣股市上萬點成為常態，只要外資持續湧入，今年台股的全年表現將是十年來最佳，躋身表現最強亞股之林。,"彭博資訊報導，只要外資持續湧入，台股今年表現將是十年來最佳。圖／聯合報系資料照片 分享   facebook      
彭博資訊報導，台灣股市上萬點成為常態，只要外資持續湧入，今年台股的全年表現將是十年來最佳，躋身表現最強亞股之林。 
鴻海子公司富智康預估第三季虧損大減，消息激勵鴻海股價昨天大漲四點二元、漲幅百分之五點二，交易量爆出近半年最大量十二點三萬張。鴻海股價走高也推升台股指數，昨天終場上漲四十點，收在一萬一三九九點，成交值一三三二億餘元。 
彭博指出，美中貿易緊張暫時緩和，使風險偏好回穩的外資前進台股，台股在十月上漲百分之四點九，為二○一二年以來單月表現最強，今年以來累計漲約百分之十七，可望是二○○九年以來最大漲幅。台幣匯率今年也一度強勢升值到二○一八年中期以來的最高點。 
彭博表示，蘋果公司對台股的影響力愈來愈大，蘋果本季營收展望強勁，也將照亮台灣經濟與台股，但台股後勢是否能繼續上攻，要視美中貿易談判的結果而定。 
由於富智康最新公告獲利預警，預期前三季虧損將下滑到○點六五億美元，較去年同期收斂近九成，摩根大通指出，富智康收購Nokia手機部門，大力整頓並展現良好成本管控能力是淨損大減主因，而此進展比市場預期快上許多。 
鴻海規畫十三日舉辦法說會，屆時鴻海創辦人郭台銘動向、主要大客戶蘋果iPhone新機拉貨力道、明年上半年營運展望、鴻海布局5Ｇ進展等，將成為法人關注焦點。","台股,外資,亞股,彭博,富智康,台幣匯率",聯合新聞網,https://udn.com/news/story/7251/4139691
韓國瑜拚整合 明台南合體朱立倫再北上同台妙天,2019/11/1 21:57,要聞,國民黨總統參選人韓國瑜力拚黨內整合、藍軍歸隊，明天上午將出席台南立委參選人洪秀柱競選總部成立茶會，與前新北市長朱立倫合體...,"國民黨總統參選人韓國瑜力拚黨內整合、藍軍歸隊，明天上午將出席台南立委參選人洪秀柱競選總部成立茶會，與前新北市長朱立倫合體；下午將北上出席國會政黨聯盟建黨週年大會，可望首度與國會黨主席悟覺妙天同台。 
韓國瑜日前展開全台傾聽之旅，從屏東一路向北，走訪台南、嘉義、雲林、彰化，今天則走訪桃園，為桃園立委參選人造勢。 
韓國瑜明天將在台南出席洪秀柱競選總部成立茶會，朱立倫、吳敦義也將出席致詞。 
根據主辦單位規劃，致詞順序為吳敦義、朱立倫、韓國瑜和洪秀柱，並由韓、朱、洪領唱大合唱，韓國瑜和朱立倫確定同台。 
朱立倫日前指「韓朱配」是不存在的議題，近日又傳出朱立倫可望接競選總部主委，韓、朱明天互動被視為是否將「韓朱合」的指標。 
前立法院長王金平也將出席洪秀柱競總成立茶會，只是根據王金平辦公室發出的採訪通知，王金平抵達的時間將視上一個行程而定，預計在中午前抵達。 
王金平日前退出國民黨內總統初選，並堅持參選總統到底，一度更傳出要跟鴻海創辦人郭台銘、台北市長柯文哲「郭柯王」結盟角逐2020，王金平明天是否將與韓國瑜同台，格外引發關注。 
韓國瑜結束台南行程後將北上，預計在下午4時30分出席在凱達格蘭大道舉辦的國會政黨聯盟建黨週年大會，首度與國會政黨聯盟主席悟覺妙天公開同台。 
外傳悟覺妙天在國民黨黨內初選階段暗助韓國瑜，更是韓國瑜凱道造勢活動的幕後金主，妙天日前接受媒體訪問時也表態，總統大選將力挺韓國瑜。 
韓國瑜2日則沒有安排公開行程，根據幕僚透露，韓國瑜安排私人拜會行程，也可能將與國政顧問團開會討論政見。","2020選舉,韓國瑜,朱立倫,國民黨,悟覺妙天",聯合新聞網,https://udn.com/news/story/12702/4139629
鴻海旗下夏普 五季首見獲利成長,2019/11/2 02:54,產經,"鴻海集團旗下夏普上季營業利益成長0.6%，優於市場預期，是過去五季以來獲利首見增加，有助鴻海業外表現，主要歸功於從東芝收購的筆電事業表現強勁。但分析師也擔心，日本10月調漲消費稅率，可能威脅夏普達成全年營業利益1,000億日圓目標的能力。","鴻海集團旗下夏普上季營業利益成長0.6%，優於市場預期，是過去五季以來獲利首見增加，有助鴻海業外表現，主要歸功於從東芝收購的筆電事業表現強勁。但分析師也擔心，日本10月調漲消費稅率，可能威脅夏普達成全年營業利益1,000億日圓目標的能力。 
夏普1日表示，止於9月底的年度第2季營業利益為223億日圓，分別高於分析師預估的196.5億日圓、以及去年同期的222億日圓。 
夏普也維持至明年3月底止的2020年會計年度營業利益目標在1,000億日圓不變，仍高於市場預測的822.3億日圓。夏普去年從東芝接下持續虧錢的筆電部門，並扭轉該部門的頹勢，藉由拓展全球市占，讓筆電部門成為主要的獲利貢獻來源。 
彭博行業研究分析師指出，儘管日本10月調漲消費稅率的預期，推升夏普上季的家電和電視需求，但夏普上半年度營業利益仍僅達到369.6億日圓，比其目標的440億日圓低16%。","日圓,夏普,筆電",聯合新聞網,https://udn.com/news/story/7240/4139900
鴻海：5G時代 不能只做代工,2019/11/2 02:54,產經,鴻海董事長劉揚偉昨（1）日出席台大主辦的「IT×M高峰論壇」時表示，第五代行動通訊（5G）新商業模式就是機會。他三度重申，面對5G浪潮，台灣產業「千萬不能只做代工！」,"鴻海董事長劉揚偉 記者吳凱中／攝影 分享   facebook     鴻海董事長劉揚偉昨（1）日出席台大主辦的「IT×M高峰論壇」時表示，第五代行動通訊（5G）新商業模式就是機會。他三度重申，面對5G浪潮，台灣產業「千萬不能只做代工！」 
鴻海是全球電子代工廠龍頭，劉揚偉呼籲台廠不要再走過去的代工路，引起業界熱議。事實上，鴻海早已看到未來科技轉變，從傳統代工業跨入人工智慧（AI）、智慧製造、精準醫療等領域；集團旗下專攻工業電腦、工業互聯網的樺漢也展現轉型力道，過去以POS、ATM系統起家，樺漢已形成品牌、系統整合及代工三大事業區塊。 
劉揚偉昨日出席台大主辦的「IT×M高峰論壇」-5G行動大未來，以「5G時代的變局與機會」為題演講。他強調，這是一個最好的時代、也是最壞的時代，做不好就會被拋棄，台灣產業須重視產品經理人，從客戶需求角度出發，拋棄以往電子業降低成本思維導向。 
劉揚偉引述據研究機構IHS Markit報告數據指出，2035年全球5G產值達12.3兆美元，相當於2016年所有美國消費者全部支出。他並在場接連三次強調，台灣產業「千萬不能只做代工！」 
劉揚偉指出，台灣可掌握的價值鏈可望達到1,340億美元，創造將近51萬個就業機會。單是5G行動通訊，就能為台灣業者帶來600億美元產值，其中348億美元是由出口所致。 
劉揚偉表示，5G對於鴻海而言，也是個大挑戰。他開玩笑地形容，「如果大家沒能跨過挑戰，那大家就在非洲見，但這陷入過去的漩渦。」 
在5G重要性方面，劉揚偉認為，這是科技地位爭奪戰，也是國家競技賽，其實不只美中貿易戰，單是5G就可以重構整個產業鏈，這是新科技的影響，不能避免，製造業必須開拓新商業模式。 
劉揚偉強調，大家都在猜未來5G產品長什麼樣，但以人類有5,000年歷史，其實需求從來沒改變過，用中國話講，就是食衣住行住行育樂生老病死，如何把5G帶進這十個領域。 
劉揚偉指出，從產業鏈來看，以前代工廠最常碰到的問題就是客戶要求產量、產能，但代工業者很怕準備產能過多，或人力準備太多太少，導致最後賺不到錢，但在未來5G時代這些都會變透明，預言產業鏈將會重構。要如何迎接這波改變？最重要的就是數位轉型，沒有數位轉型就不能參與生意，被排斥在外。 經濟日報／提供 分享   facebook","5G,劉揚偉,鴻海",聯合新聞網,https://udn.com/news/story/7240/4139898
鴻海董事長劉揚偉：5G會重新塑造供應鏈,2019/11/1 17:06,產經,鴻海集團董事長劉揚偉今(1)日出席「IT×M高峰論壇」-5G行動大未來，以「5G時代的變局與機會」為題演講，他告訴台下台...,"鴻海集團董事長劉揚偉今(1)日出席「IT×M高峰論壇」-5G行動大未來，以「5G時代的變局與機會」為題演講，他告訴台下台大EMBA學生，5G將重塑產業鏈，未來千萬不能只做代工，也不能抱持著降低成本的思維，否則最終只能到非洲設廠。 
鴻海科技集團董事長劉揚偉。 圖／鴻海提供 分享   facebook","5G,鴻海,劉揚偉",聯合新聞網,https://udn.com/news/story/7240/4139259
