TITLE,TIME,CATEGORY,DESCRIPTION,CONTENT,KEYWORDS,FROM,LINK
郭台銘沒否認參選 還說侯明鋒是適合的副手人選,2019/9/1 13:27,要聞,郭柯王結盟成局與否即將攤牌，對於郭台銘是否找侯友宜二哥侯明鋒搭擋副手？郭台銘今天表示，他若要找一個人一起經營中華民國的...,"郭柯王結盟成局與否即將攤牌，對於郭台銘是否找侯友宜二哥侯明鋒搭擋副手？郭台銘今天表示，他若要找一個人一起經營中華民國的未來，侯一定是相當適合的副手人選，郭甚至提到，若有一天他當中華民國總統，侯在乳癌的專業領域可以救人，也可以像柯文哲一樣救國，台灣有好的人才，應該讓侯有最大發揮機會，郭也表示，他最近會在最短時間內，去探望侯明鋒。 
鴻海集團創辦人郭台銘宣布參選的最後倒數，郭今天上午現身國軍英雄館，出席青溪教育研究院活動並進行專題演講，會後郭台銘接受媒體聯訪，媒體問是否找侯友宜二哥侯明鋒當副手搭擋？郭沒有否認將參選，郭表示，他若要經營中華民國的未來，選的副手人選侯相當合適，郭甚至提到，若有一天他當中華民國總統，侯在乳癌的專業領域救人，應該也可以救國，讓侯有最大發揮機會，郭也表示，他最近會在最短時間去探望侯明鋒。 
郭提到，侯明鋒絕對會是副手的合適人選，不過很多事情就是見光就死，郭表示，他很感謝媒體提醒，但不曉得副手這個新聞怎麼出來？但侯絕對會是合適人選，但避免見光就死，媒體要促成這件事，應該就是什麼事情都不要做。 
郭台銘表示，他一開始並不曉得侯明鋒院長是侯友宜的二哥，侯明鋒院長一直是永齡基金會南部最主要的合作夥伴，直到今年三月永齡癌症基金會頒獎給乳癌專家侯院長時，他才認識侯明鋒院長，前幾天有人私下告知，他也才知道侯明鋒是侯友宜的二哥，郭也提到，他對侯明鋒感到尊敬、還是尊敬，也認為侯友宜市長有這麼好二哥，代表他們家有一定有非常好基因DNA ，才會有這麼好兄弟。 
至於怎麼看韓朱配？郭台銘沒有回應。郭台銘是否找侯友宜二哥侯明鋒搭擋副手？郭台銘今天表示，他若要找一個人一起經營中華民國的未來，侯一定是相當適合的副手人選，郭提到，若有一天他當中華民國總統，侯在乳癌的專業領域可以救人，也可以像柯文哲一樣救國，台灣有好的人才，應該讓侯有最大發揮機會。圖／本報資料照片 分享   facebook     郭台銘。圖／聯合報系資料照片 分享   facebook     ","2020選舉,郭台銘",聯合新聞網,https://udn.com/news/story/12702/4022395
影／二哥侯明鋒當郭台銘副手？ 侯友宜：他差遠了啦,2019/9/1 17:40,要聞,鴻海集團創辦人郭台銘今表示，若他參選2020總統大選，認為新北市長侯友宜二哥侯明鋒是非常好的副手人選，對此，侯友宜表示...,"鴻海集團創辦人郭台銘今表示，若他參選2020總統大選，認為新北市長侯友宜二哥侯明鋒是非常好的副手人選，對此，侯友宜表示，二哥的聲明已表示，目前以教學、研究、醫療為重，侯還說，政治方面，二哥比不上柯文哲、賴清德等人，「他差遠了啦！」 
據傳郭台銘若參選2020總統大選，副手鎖定高雄醫學大學附設醫院院長、侯友宜二哥侯明鋒，郭表示，「如果我要找一個能夠跟我一起來，經營中華民國未來，我覺得他絕對是非常合適」。 
侯友宜表示，二哥目前以教學、研究、醫療為重，他跟二哥多年來的相處及了解，認為二哥對政治沒有興趣。侯除了感謝外界對侯明鋒的肯定，也表示他們兄弟將各自在自己的崗位上，專心做好自己的本分。 
侯還說，他認為二哥是乳癌醫療方面很好的人選，但在政治方面，他絕對比不上賴清德、柯文哲、陳建仁等，「我看他差遠了啦！」認為侯明鋒沒有這樣的能力，醫療可以，但其他就不知道。 
另提到侯明鋒去年曾勸侯友宜別選舉，對此，侯說，二哥本來就不要他選舉，全家人沒有一個贊成，但他做了決定，就會轉而支持，自己做決定最重要，而他走自己的路，好好做市長的工作，二哥侯明鋒現在當醫生，要記得把醫生的本分做好很重要。 
有媒體問到，是否會勸侯明鋒不要出來選舉，侯表示，他從不勸別人做什麼、不做什麼，二哥已當到院長，知道該做什麼，而他就是把市長做好，讓台灣把選舉的氛圍降到最低，政治的對立跟衝突減到最少，靜下心全力往前走，台灣才會進步。新北市長侯友宜表示，政治方面，二哥侯明鋒比不上柯文哲、賴清德等，「他差遠了啦」。記者胡瑞玲／攝影 分享   facebook","2020選舉,侯友宜,柯文哲,郭台銘",聯合新聞網,https://udn.com/news/story/12702/4022722
郭台銘點名他 ！最適合一起經營中華民國未來,2019/9/1 12:33,要聞,鴻海創辦人郭台銘今日至青溪菁英教育研究院專題演講並在演講後接受媒體訪問提到，若要找人一起經營中華民國未來他最適合（新北...,"鴻海創辦人郭台銘今日至青溪菁英教育研究院專題演講並在演講後接受媒體訪問提到，若要找人一起經營中華民國未來他最適合（新北市長侯友宜的二哥、高雄醫學大學附設醫院院長侯明鋒），他也可以像柯市長救國。 
郭台銘說，一開始並不曉得他是侯友宜的二哥，直到今年三月份永齡癌症基金會活動，「因為侯院長是乳癌專家，我先妻也是乳癌過世所以對乳癌患者DNA檢測我們永齡有合作的。」 
郭台銘也說，侯院長是我們南部地區最主要合作夥伴，直到今年三月份頒獎時，我們才認識侯院長，「那一天有人私底下告訴我他是侯市長二哥就這樣子，感謝昨天媒體的提醒，如果我要找一個能夠跟我一起，經營中華民國的未來，我想他絕對是非常合適。」 
郭台銘也說，「感謝各位媒體的提醒，我不知道這新聞怎麼出來的但他絕對很合適，但很多事情是這樣見光就死，最短時間會去看他，但是你想想看媒體下午一定會，今天問他、明天問侯市長，你們就什麼都不要問，他們想出來也有困難，我對侯院長不論將來，要不要出來對大家服務，他已經在服務是乳癌權威。」鴻海創辦人郭台銘上出席國民黨青溪教育研究菁英班活動，對媒體回應副手人選侯明鋒的問題。聯合報記者陳正興／攝影 分享   facebook     ",2020選舉,聯合新聞網,https://udn.com/news/story/12702/4022335
郭台銘：經濟進政治出 蔣經國務實經貿外交找回來,2019/9/1 14:16,要聞,鴻海集團創辦人郭台銘參選與否即將攤牌，郭今天在臉書貼文參訪沙烏地阿拉伯的心得，並提出「產業外交」、「經濟進，政治出」、...,"鴻海集團創辦人郭台銘參選與否即將攤牌，郭今天在臉書貼文參訪沙烏地阿拉伯的心得，並提出「產業外交」、「經濟進，政治出」、「經濟進，利益出」的口號，要將當年蔣經國總統與孫運璿院長的務實經貿外交精神找回來，真正達成最後台灣獲利的目標，包括0-6歲國家養等政策，絕不會是空談。 
郭表示，每天的政治口水、只要談選舉就只有藍綠的意識型態與統獨議題外，台灣可以選擇另一條道路，郭提到，他就是要把大部分心力與時間，專注在經濟及科技發展上，以台灣擁有的產業實力，向全世界找尋機會，所以他提出「產業外交」、「經濟進，政治出」、「經濟進，利益出」，將當年蔣經國總統與孫運璿院長的務實經貿外交精神找回來，真正達成最後台灣獲利的目標，這個利不僅是經濟上的利益，更能增加實質關係的盟友利益。 
郭表示，他這次前往沙烏地阿拉伯，收穫很多，沙國有豐富的石油礦產，目前以便宜的電力建立了煉鋁產業，在電動車產業蓬勃發展，輕量化車體需求帶動用鋁量，沙國現今政策朝向開放，希望增加更多除了石化及鋁業的其它產業，郭也提到，對於長期大量依賴外來人口的沙國而言，勞動力仍不足，還是期待朝向自動化，機器人化的型態發展，郭說，只要台灣有心，沙國未來的產業自動化和機器人等，就靠台灣了。 
郭提到，台灣的能源依賴進口，石化產業有很多向沙國學習的地方，台灣工業及相關產業在考量中美市場外，對回教世界國家有許多可發展的機會，其中沙國為阿拉伯世界中面積第二大的國家，是唯一一個同時擁有紅海和波斯灣海岸線的國家，南可至非洲，往西行至歐洲，人口數大約2800萬人，但由於長年風沙，全國平均壽命大概只有六十多歲，郭提到，他此行也向沙國介紹台灣在醫療及?生領域的發展，沙國的?生部長近日也希望到台灣來參訪，多了解在醫院及保險、健康產業發展，郭表示，他曾說台灣應該建立大健康產業，向外輸出的機會無遠弗屆，所得之稅收增進人民福??，像是0-6歲國家養等政策，也絕不會是空談。 
郭也在文末標註，#不管選不選總統經貿外交永遠的使命、#中華民國最強外掛圖／擷取自郭台銘臉書 分享   facebook     鴻海創辦人郭台銘上出席國民黨青溪教育研究菁英班活動，對媒體回應副手人選侯明鋒的問題。記者陳正興／攝影 分享   facebook","蔣經國,沙烏地阿拉伯",聯合新聞網,https://udn.com/news/story/6656/4022473
傳吳敦義盼郭台銘當備胎 國民黨：不可能換瑜,2019/9/1 19:48,要聞,傳國民黨主席吳敦義請人向鴻海創辦人郭台銘表達，國民黨總統參選人韓國瑜恐選不下去，希望郭台銘當「備胎」。國民黨今天表示，不...,"左為郭台銘、右為韓國瑜。 圖／ 分享   facebook     傳國民黨主席吳敦義請人向鴻海創辦人郭台銘表達，國民黨總統參選人韓國瑜恐選不下去，希望郭台銘當「備胎」。國民黨今天表示，不可能「換瑜」；郭辦也指出，郭對「換瑜」絕無想法。 
就在郭台銘將在9月17日連署申請截止前說明是否獨立參選總統之際，有媒體報導指出，除國民黨副主席郝龍斌在8月15日與郭台銘見面外，當天吳敦義也另外派張顯耀私下拜會郭台銘，指韓國瑜最後可能選不下去，希望郭台銘當國民黨的「備胎人選」。 
國民黨文傳會代理主委程美華告訴中央社記者，媒體報導純屬子虛烏有之事，韓國瑜是經過國民黨總統初選選出的唯一總統參選人，吳敦義也再三宣示，要求國民黨全黨上下要盡全力輔選，讓韓國瑜在總統大選中獲勝，國民黨不可能換掉韓國瑜。 
郭台銘辦公室則表示，辦公室目前對媒體報導所稱的相關內容一無所悉，再次重申郭台銘對「換瑜」絕無想法。","2020選舉,郭台銘,韓國瑜,吳敦義",聯合新聞網,https://udn.com/news/story/12702/4022838
港831衝突 徐永明：鎮壓人民的政府絕對沒好下場,2019/9/1 15:03,兩岸,香港「反送中」昨天遊行爆發警民衝突，時力黨主席徐永明今天譴責港府暴力，也說「鎮壓人民的政府絕對沒有好下場」，中國領導人應...,"831警民衝突。圖／香港01提供 分享   facebook     香港「反送中」昨天遊行爆發警民衝突，時力黨主席徐永明今天譴責港府暴力，也說「鎮壓人民的政府絕對沒有好下場」，中國領導人應嚴肅思考，以和平方式處理香港事務。 
對於有媒體報導，關於時代力量與民進黨的主席對談，有民進黨人士認為「有什麼好談？」時代力量今天發布新聞稿進行說明。 
徐永明認為，2020大選不是只談選區、政黨票的交換，兩黨若要合作，就要互相尊重黨的主體性。本屆國會的最後一個會期即將開議，藉由主席對談，釐清兩黨在價值、政策和法案的差異，尋找合作空間，讓「改革護台」和「抗中保台」可以匯流，才能為大選建立互動基礎。 
新聞稿也提到，台灣民眾黨主席柯文哲指稱，若鴻海創辦人郭台銘9月17日沒登記，只剩下親民黨和時代力量的提名方式；徐永明說，時代力量確實有自提總統的權利，也會審慎評估，這是權利也是責任，是來自於2016大選、選民的支持託付，但這並非一張可販售的「門票」，或與特定政治人物的「浮士德交易」。 
徐永明指出，時代力量自提的總統人選，該人選必須忠誠於台灣人民，貫徹時代力量主體路線，包括政策、法案、兩岸立場和台灣主權等方面。 
至於香港昨天爆發警方暴力鎮壓人民的情況，徐永明強調，嚴厲譴責港府暴力手段，鎮壓人民的政府絕對沒有好下場，中國領導人應嚴肅思考，以和平方式處理香港事務，積極回應港人訴求。 
徐永明也說，國家安全會議雖已組成專案小組緊盯香港情勢，但隨著愈趨嚴峻的發展，若有必要，時代力量將全力支持政府，召開國際記者會，為台灣民主之友的香港人民發聲，也警告中共和平對話，莫製造區域的動亂。 
柯文哲日前在天下雜誌專訪中說，「9月17日連署登記截止若沒有（去登記）就很難，剩下去跟老宋商量，看他要不要提名我」。如果獨立參選，中央選舉委員會規定9月13日到17日受理申請為總統選舉被連署人。 
柯文哲8月31日出席2019銀髮族運動會後接受媒體訪問表示，他是被問如果9月17日沒登記是不是百分之百不選，他才說按目前法律規定，只剩親民黨與時代力量可提名。 
此外柯文哲也說，如果郭台銘不選總統，他就要找親民黨主席宋楚瑜提名他，「那只是說if（假如），這應該不會發生」。 
另外，如果獨立參選，中央選舉委員會規定9月13日到17日受理申請為總統選舉被連署人。","反送中,香港",聯合新聞網,https://udn.com/news/story/120538/4022496
副手點名侯友宜二哥 郭台銘：最短時間內拜訪他,2019/9/1 13:28,要聞,鴻海創辦人郭台銘今天表示，如果要找能夠跟他一起經營中華民國的未來，高醫大附設醫學院長侯明鋒絕對非常適合，但很多事「見光就...,"鴻海創辦人郭台銘今天表示，如果要找能夠跟他一起經營中華民國的未來，高醫大附設醫學院長侯明鋒絕對非常適合，但很多事「見光就死」，他會在最短時間內去拜訪侯明鋒。 
郭台銘將在9月17日連署申請截止前說明是否獨立參選總統，外傳搭檔競選副手人選鎖定新北市長侯友宜二哥、高醫大附設醫學院長侯明鋒。 
郭台銘上午應邀前往全國青溪總會舉辦的青溪教育研究院菁英班進行演講，他會後受訪表示，如果要找一位能夠跟他一起經營中華民國的未來，侯明鋒絕對非常適合，但很多事情就是「見光就死」，他會在最短時間內去拜訪侯明鋒。 
郭台銘也指出，他並不知道侯明鋒是侯友宜的二哥，由於侯明鋒是永齡基金會在南部地區主要的合作夥伴，今年3月認識侯明鋒，才有人私下告訴他，侯明鋒是侯友宜的二哥。 
郭台銘表示，侯明鋒在乳癌領域是世界權威，他覺得一個好醫師除了可以在專業領域救人，也可以像台北市長柯文哲一樣，出來救國。台灣有很多傑出的人才，都應該珍惜、尊重，讓人才有最大發揮機會。 
由於今天適逢記者節，郭台銘也逐一與在場採訪的記者握手致意，展現親民作風，郭台銘也打趣表示，「如果媒體要促成這個組合，最好什麼都不要做，就容易促成」，因為每天採訪，就算他們想出來，也有困難。鴻海創辦人郭台銘上出席國民黨青溪教育研究菁英班活動，對媒體回應副手人選侯明鋒的問題。記者陳正興／攝影 分享   facebook","2020選舉,郭台銘",聯合新聞網,https://udn.com/news/story/12702/4022371
韓國瑜中北部固樁 8日新北造勢侯友宜成焦點,2019/9/1 12:34,要聞,國民黨總統參選人韓國瑜面臨黨內分裂危機，下鄉行程固樁意味濃。日前先與初選挺郭的南投縣長林明溱合體，今天再到彰化縣與親王的...,"國民黨總統參選人韓國瑜面臨黨內分裂危機，下鄉行程固樁意味濃。日前先與初選挺郭的南投縣長林明溱合體，今天再到彰化縣與親王的彰化縣長王惠美同台，8日將回防新北，拒接競總主委的新北市長侯友宜是否將力挺備受關注。 
韓國瑜8月啟動下鄉之旅，利用假日走訪高雄以外的縣市，以參拜宮廟為主要行程。首站直搗民進黨執政縣市桃園，之後搶攻客家票走訪新竹縣、市。 
面對鴻海創辦人郭台銘將與台北市長柯文哲、前立法院長王金平結盟傳言甚囂塵上，韓國瑜先與在初選階段挺郭的南投縣長林明溱合體，今天再到訪彰化，被視為王金平人馬的王惠美陪同，固樁意味濃厚。 
韓國瑜7日下鄉擬鎖定基隆、宜蘭，8日則將回防最大票倉新北市；由於新北市長侯友宜婉拒接任韓國瑜聯合競選總部主委一職，在重啟核四議題也有歧見，新北市的這一場行程，韓、侯是否同台備受關注。 
輔選人士指出，8日白天行程尚未確定，但晚間會有一場造勢活動，主要考量到新北有12個立委選區，幅員廣大，要一天走完每一區有難度，因此打算直接辦造勢，讓立委參選人直接與韓國瑜聯合造勢。 
近日「韓朱配」呼聲高，輔選人士說，前新北市長朱立倫和前台北縣長周錫瑋可望在新北場到場力挺韓國瑜，而侯友宜是否出席，該人士語帶保留的說，到時候就知道了。 
韓國瑜也將在10日晚間首度利用非假日的時間北上，參加台北市黨部重要輔選幹部活動，當天韓國瑜可望與前總統馬英九、黨主席吳敦義、副主席郝龍斌同台。 
有關下鄉行程的路徑考量，韓陣營人士表示，主要是配合韓國瑜平日忙市政的節奏，假日就得安排平日較難以到訪的地區，所以目前都以離高雄較遠的北部、中部為主，至於雲嘉南、屏東等地，韓國瑜接下來可能就可以利用平日下班走訪。 
韓陣營人士認為，拜廟是最基本的拜碼頭行程，把廟拜一遍，就等於把一個區域走完一遍，又可以增加曝光度，更不需要過度動員，在選戰初期算是很好的熱身活動。 
韓陣營人士也提出下鄉「3部曲」，拜完一輪的廟之後，第二輪就應跑得更細，譬如說以區域立委的選區為一個單位，由該選區立委自行安排行程，可能是座談會或是掃市場等，最後舉辦各縣市大型造勢，或全國性的大造勢。8日將回防新北，拒接競總主委的新北市長侯友宜是否將力挺備受關注。聯合報記者張曼蘋／攝影 分享   facebook","2020選舉,韓國瑜",聯合新聞網,https://udn.com/news/story/12702/4022331
郭台銘：可惜同事沒買到美國5G自駕技術公司,2019/9/1 12:24,要聞,鴻海創辦人郭台銘今日至青溪菁英教育研究院專題演講透露，當時有一家美國5G自動駕駛技術公司出售，本來中國大陸要去投資開價...,"鴻海創辦人郭台銘今日至青溪菁英教育研究院專題演講透露，當時有一家美國5G自動駕駛技術公司出售，本來中國大陸要去投資開價6.8億美元，後來美國不准中國投資，我說台灣公司可以買、對方說可以、後來開價6800萬美元，很可惜我沒買到，因為後來工作交給我同事去做他們沒注意到這件事情，兩個月以後被蘋果公司買走（意指Drive.ai ）。 
郭台銘也說，美國國家安全局組合各官方機構研究調查美中之間的科技競爭，從國防工業、AI、自動駕駛一一比較，調查發現在5G技術落後中國兩年，讓美國視為國安危機，讓美國緊張，也是台灣的機會。 
郭台銘強調，科技的競爭台灣和美國的關係一定是要合作，科技背後是研發與基礎科學的綜合，今天來說美中貿易戰的複雜化背後是科技的競爭。","2020選舉,郭台銘",聯合新聞網,https://udn.com/news/story/12702/4022317
親民黨提名說 柯文哲：可能性微乎其微,2019/9/1 13:17,要聞,台北市長柯文哲日前接受天下雜誌專訪時說，9月17日後若鴻海集團創辦人郭台銘沒有去登記，他就去跟親民黨主席宋楚瑜商量，看要不要提名他。柯文哲今天表示，917後，想參選唯一的路是找時代力量跟親民黨，但可能性微乎其微。,"台北市長柯文哲（右三）今天南下到雲林參訪有機蔬菜農社。 記者李京昇／攝影 分享   facebook     台北市長柯文哲日前接受天下雜誌專訪時說，9月17日後若鴻海集團創辦人郭台銘沒有去登記，他就去跟親民黨主席宋楚瑜商量，看要不要提名他。柯文哲今天表示，917後，想參選唯一的路是找時代力量跟親民黨，但可能性微乎其微。 
柯文哲表示，郭台銘917之後若還沒登記，唯一參選的路只能找時代力量跟親民黨提名，不過機會微乎其微，各黨有各自打算。 
至於親民黨秘書長李鴻鈞罵柯文哲是亂說、消費親民黨，對此，柯文哲回說，「沒有啦，不會啦！不會啦，不會消費親民黨」。 
至於明天可能跟總統蔡英文同台，有沒有要討論什麼話題？柯文哲表示，總統公開行程若有台北市的行程，該出席的他會出席，依法行政也順其自然，沒有特別要談什麼，他不會當面去嗆聲。 
鴻海集團創辦人郭台銘、國民黨立委王金平及台北市長柯文哲的「郭柯王」結盟備受外界關注，柯文哲今天造訪雲林，被問到三人將有何合作，柯文哲說，順其自然，找出台灣最需要的答案。 
柯文哲今南下到雲林莿桐鄉，參訪有機蔬菜農社，並下田體驗採收蔬菜。被問到「郭柯王」將來有何方向，柯文哲說，台灣社會確實有需要他們的地方，但得產出最有價值的東西，今天並非說台灣人民有需要，推出的產品（指政策、政見等等），所有人就得埋單。 
媒體問到，因大選越來越靠近藍綠兩黨攻擊第三勢力的力道愈來愈大，對此要如何應對，柯文哲聽完笑答，「順其自然啦！這也是預料中的事情，依法行政、順其自然就好，沒什麼特別的」。","2020選舉,柯文哲,郭台銘,宋楚瑜,親民黨",聯合新聞網,https://udn.com/news/story/12702/4022348
