日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/06/06,"46,432,108","4,121,446,312",88.0,89.2,88.0,89.1,1.0,"18,661"
107/06/07,"90,021,834","8,117,164,569",89.9,91.2,89.3,91.2,2.1,"36,960"
107/06/08,"100,334,529","8,998,037,006",91.3,91.9,88.0,88.3,-2.9,"39,523"
107/06/11,"40,059,515","3,511,608,470",88.1,88.4,87.1,87.4,-0.9,"15,490"
107/06/12,"45,276,716","3,966,911,526",87.3,88.2,87.1,87.7,0.3,"14,070"
107/06/13,"28,052,487","2,462,466,403",88.0,88.4,87.3,87.8,0.1,"10,128"
107/06/14,"63,053,102","5,435,297,672",86.8,87.3,85.5,85.5,-2.3,"28,714"
107/06/15,"55,144,936","4,679,517,838",84.8,85.2,84.5,85.0,-0.5,"18,047"
107/06/19,"66,100,691","5,509,852,111",83.6,84.2,83.0,83.0,-2.0,"29,666"
107/06/20,"47,643,520","3,931,979,024",82.3,83.4,81.8,83.0,0.0,"19,911"
107/06/21,"30,789,193","2,553,597,039",83.0,83.5,82.7,82.7,-0.3,"12,525"
107/06/22,"33,349,299","2,739,176,147",82.0,82.4,81.8,82.3,-0.4,"14,116"
107/06/25,"35,870,279","2,935,164,491",82.1,82.2,81.5,81.5,-0.8,"16,314"
107/06/26,"41,777,199","3,373,263,287",80.9,81.6,80.3,81.0,-0.5,"19,449"
107/06/27,"32,923,720","2,670,249,405",81.1,81.5,80.9,80.9,-0.1,"14,529"
107/06/28,"28,261,700","2,280,230,820",80.9,81.1,80.3,80.5,-0.4,"12,196"
107/06/29,"39,735,409","3,266,758,929",81.1,83.2,81.0,83.2,2.7,"16,329"
107/07/02,"34,168,444","2,801,225,646",83.3,83.3,81.0,81.0,-2.20,"14,831"
107/07/03,"23,992,573","1,941,693,913",81.1,81.7,80.5,80.7,-0.30,"11,205"
107/07/04,"17,452,796","1,417,689,247",80.8,81.6,80.8,81.6,+0.90,"6,839"
107/07/05,"17,474,083","1,419,788,710",81.7,81.8,81.0,81.2,-0.40,"6,781"
107/07/06,"39,278,906","3,165,975,950",80.9,81.2,80.2,80.5,-0.70,"13,882"
107/07/09,"23,838,042","1,934,894,382",81.4,81.6,80.7,80.8,+0.30,"8,044"
107/07/10,"31,352,455","2,529,597,690",81.2,81.3,80.3,80.5,-0.30,"11,414"
107/07/11,"37,731,076","3,069,033,804",80.6,82.0,80.6,81.6,+1.10,"13,630"
107/07/12,"26,209,664","2,128,826,251",80.8,81.8,80.8,81.2,-0.40,"8,518"
107/07/13,"36,224,415","2,981,263,603",81.7,82.9,81.7,82.9,+1.70,"13,728"
107/07/16,"24,798,091","2,060,074,853",83.0,83.4,82.8,82.8,-0.10,"10,146"
107/07/17,"23,732,878","1,967,617,066",82.9,83.5,82.5,82.9,+0.10,"9,329"
107/07/18,"46,690,209","3,921,547,547",83.8,84.4,83.4,84.1,+1.20,"18,817"
107/07/19,"38,913,244","3,304,596,972",84.5,85.2,84.3,85.2,+1.10,"18,253"
107/07/20,"38,980,756","3,317,339,303",85.5,85.8,84.2,85.3,+0.10,"18,147"
107/07/23,"35,744,652","3,051,215,034",85.6,85.7,84.9,85.5,+0.20,"16,113"
107/07/24,"64,869,538","5,538,047,893",85.1,86.0,85.0,85.2,-0.30,"23,288"
107/07/25,"37,942,818","3,142,501,721",82.8,83.2,82.4,82.7,X0.00,"15,765"
107/07/26,"26,804,047","2,217,911,757",82.5,83.5,82.2,83.5,+0.80,"12,476"
107/07/27,"23,752,787","1,978,245,859",83.3,83.7,83.0,83.2,-0.30,"8,695"
107/07/30,"37,142,208","3,115,512,572",83.4,84.3,83.1,84.2,+1.00,"13,057"
107/07/31,"25,939,040","2,172,008,222",83.6,84.0,83.4,83.8,-0.40,"9,112"
107/08/01,"30,518,200","2,563,028,560",83.9,84.3,83.5,84.1,0.3,"9,816"
107/08/02,"30,535,677","2,554,483,656",84.5,84.5,82.6,82.8,-1.3,"12,008"
107/08/03,"23,113,163","1,930,053,935",83.6,83.8,83.0,83.8,1.0,"10,151"
107/08/06,"23,111,196","1,952,682,416",83.6,84.9,83.6,84.6,0.8,"9,553"
107/08/07,"31,057,339","2,635,379,676",85.2,85.2,84.4,84.4,-0.2,"11,580"
107/08/08,"32,682,750","2,774,938,551",85.0,85.1,84.4,85.0,0.6,"12,555"
107/08/09,"26,007,558","2,220,494,242",85.6,85.6,85.0,85.2,0.2,"11,045"
107/08/10,"33,324,361","2,857,489,450",85.4,86.0,85.3,85.9,0.7,"14,176"
107/08/13,"35,247,586","2,978,768,364",85.9,86.0,83.5,83.8,-2.1,"17,044"
107/08/14,"74,063,113","6,052,300,499",83.1,83.1,80.8,81.3,-2.5,"33,316"
107/08/15,"47,184,896","3,807,510,462",81.0,81.5,80.3,81.1,-0.2,"22,096"
107/08/16,"26,187,636","2,124,582,015",81.0,81.8,80.3,81.2,0.1,"12,030"
107/08/17,"23,859,139","1,945,395,682",82.0,82.1,81.1,81.1,-0.1,"8,697"
107/08/20,"21,233,292","1,723,822,723",81.1,81.6,81.0,81.0,-0.1,"9,120"
107/08/21,"21,770,474","1,766,062,240",81.2,81.3,81.0,81.0,0.0,"8,477"
107/08/22,"17,172,617","1,399,072,074",81.2,81.9,81.2,81.7,0.7,"7,857"
107/08/23,"21,287,074","1,734,125,085",82.1,82.1,81.0,81.8,0.1,"9,352"
107/08/24,"21,486,869","1,739,721,400",81.5,81.6,80.5,81.1,-0.7,"9,776"
107/08/27,"19,918,539","1,612,991,811",81.1,81.3,80.8,81.0,-0.1,"8,684"
107/08/28,"23,085,678","1,875,100,803",81.3,81.5,81.0,81.2,0.2,"8,671"
107/08/29,"21,820,117","1,773,227,509",81.2,81.4,81.1,81.4,0.2,"8,145"
107/08/30,"26,893,060","2,183,760,280",81.6,81.6,80.9,80.9,-0.5,"10,184"
107/08/31,"43,337,037","3,488,411,600",80.7,80.8,80.3,80.5,-0.4,"14,089"
107/09/03,"24,454,766","1,963,318,505",80.7,80.7,80.1,80.1,-0.4,"11,320"
107/09/04,"17,486,736","1,402,957,618",80.2,80.5,80.1,80.1,0.0,"7,291"
107/09/05,"28,331,808","2,272,292,062",80.5,80.5,80.1,80.1,0.0,"8,274"
107/09/06,"44,505,565","3,533,952,933",80.0,80.1,79.1,79.3,-0.8,"19,769"
107/09/07,"66,871,228","5,219,532,566",79.1,79.1,77.5,77.7,-1.6,"33,653"
107/09/10,"86,398,522","6,529,307,947",77.4,77.5,74.8,75.1,-2.6,"37,768"
107/09/11,"50,323,730","3,862,305,230",75.4,77.7,75.4,77.7,2.6,"19,968"
107/09/12,"43,943,268","3,398,573,056",78.0,78.3,76.6,77.0,-0.7,"15,310"
107/09/13,"36,880,996","2,810,232,167",77.0,77.0,75.8,76.0,-1.0,"15,776"
107/09/14,"33,519,896","2,596,809,922",76.7,78.0,76.7,77.9,1.9,"13,608"
107/09/17,"15,468,567","1,202,724,926",78.0,78.0,77.5,77.8,-0.1,"6,309"
107/09/18,"34,636,912","2,644,862,329",77.1,77.2,75.8,75.8,-2.0,"15,729"
107/09/19,"30,577,641","2,329,728,500",76.2,76.5,75.8,76.4,0.6,"11,990"
107/09/20,"26,602,524","2,013,268,919",76.2,76.3,75.2,75.6,-0.8,"11,220"
107/09/21,"53,479,279","4,041,692,097",75.8,76.2,75.1,75.8,0.2,"14,660"
107/09/25,"20,826,641","1,580,166,880",75.5,76.3,75.2,76.1,0.3,"9,364"
107/09/26,"32,305,972","2,500,468,333",76.8,77.9,76.5,77.3,1.2,"13,653"
107/09/27,"30,732,370","2,400,029,461",77.5,78.7,77.3,78.7,1.4,"14,489"
107/09/28,"38,218,400","3,017,084,198",78.9,79.5,78.1,79.2,0.5,"14,128"
107/10/01,"27,677,022","2,213,853,060",79.9,80.4,79.6,79.9,+0.70,"12,848"
