日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/05/30,"654,770","2,755,664,120","4,205.00","4,260.00","4,180.00","4,200.00",-55.0,844
107/05/31,"1,329,714","5,492,277,400","4,230.00","4,250.00","4,030.00","4,100.00",-100.0,"1,134"
107/06/01,"671,207","2,831,931,645","4,110.00","4,270.00","4,110.00","4,245.00",145.0,839
107/06/04,"942,753","4,145,301,080","4,280.00","4,460.00","4,280.00","4,415.00",170.0,"1,057"
107/06/05,"839,084","3,736,416,280","4,420.00","4,520.00","4,355.00","4,450.00",35.0,"1,026"
107/06/06,"1,456,824","6,749,211,280","4,690.00","4,690.00","4,550.00","4,625.00",175.0,"1,650"
107/06/07,"627,495","2,899,207,000","4,650.00","4,680.00","4,575.00","4,645.00",20.0,857
107/06/08,"749,223","3,482,591,035","4,650.00","4,745.00","4,545.00","4,545.00",-100.0,952
107/06/11,"634,395","2,866,398,950","4,550.00","4,590.00","4,450.00","4,550.00",5.0,770
107/06/12,"456,758","2,052,455,520","4,580.00","4,580.00","4,440.00","4,440.00",-110.0,710
107/06/13,"983,333","4,601,663,430","4,665.00","4,735.00","4,580.00","4,730.00",290.0,"1,302"
107/06/14,"658,412","3,054,071,940","4,680.00","4,685.00","4,620.00","4,620.00",-110.0,792
107/06/15,"528,817","2,430,807,840","4,635.00","4,655.00","4,560.00","4,590.00",-30.0,621
107/06/19,"1,081,867","4,783,119,455","4,505.00","4,520.00","4,350.00","4,350.00",-240.0,"1,307"
107/06/20,"796,549","3,496,693,835","4,360.00","4,440.00","4,315.00","4,405.00",55.0,895
107/06/21,"549,829","2,478,036,355","4,445.00","4,560.00","4,440.00","4,495.00",90.0,667
107/06/22,"867,842","3,791,678,740","4,445.00","4,445.00","4,290.00","4,370.00",-125.0,790
107/06/25,"335,841","1,478,869,040","4,315.00","4,440.00","4,315.00","4,440.00",70.0,457
107/06/26,"406,554","1,816,648,540","4,395.00","4,525.00","4,360.00","4,525.00",85.0,537
107/06/27,"643,373","2,873,691,820","4,550.00","4,615.00","4,360.00","4,360.00",-165.0,727
107/06/28,"622,215","2,725,689,550","4,320.00","4,465.00","4,310.00","4,360.00",0.0,681
107/06/29,"360,292","1,605,851,080","4,440.00","4,490.00","4,405.00","4,490.00",130.0,455
107/07/02,"525,478","2,403,694,900","4,500.00","4,610.00","4,480.00","4,560.00",70.0,578
107/07/03,"539,739","2,447,442,890","4,600.00","4,640.00","4,485.00","4,530.00",-30.0,628
107/07/04,"304,937","1,370,357,860","4,525.00","4,570.00","4,435.00","4,450.00",-80.0,394
107/07/05,"434,907","1,970,169,640","4,510.00","4,580.00","4,470.00","4,540.00",90.0,525
107/07/06,"637,544","2,932,983,914","4,610.00","4,635.00","4,545.00","4,605.00",65.0,707
107/07/09,"1,137,293","5,492,191,305","4,680.00","4,985.00","4,655.00","4,920.00",315.0,"1,309"
107/07/10,"682,302","3,335,783,660","4,980.00","4,980.00","4,830.00","4,840.00",-80.0,892
107/07/11,"644,485","3,085,188,000","4,765.00","4,840.00","4,730.00","4,800.00",-40.0,800
107/07/12,"904,090","4,480,606,900","4,875.00","5,005.00","4,875.00","4,930.00",130.0,"1,101"
107/07/13,"1,192,062","5,977,869,738","5,075.00","5,075.00","4,920.00","5,040.00",110.0,"1,322"
107/07/16,"700,417","3,557,823,340","5,090.00","5,130.00","5,030.00","5,040.00",0.0,812
107/07/17,"412,335","2,068,838,300","5,030.00","5,080.00","4,960.00","4,995.00",-45.0,556
107/07/18,"414,744","2,081,967,560","5,020.00","5,065.00","4,990.00","5,020.00",25.0,485
107/07/19,"640,947","3,271,663,145","5,055.00","5,170.00","5,035.00","5,055.00",35.0,746
107/07/20,"1,367,805","7,135,030,740","5,110.00","5,295.00","5,090.00","5,270.00",215.0,"1,553"
107/07/23,"522,951","2,718,671,425","5,240.00","5,260.00","5,150.00","5,175.00",-95.0,772
107/07/24,"459,964","2,382,247,800","5,195.00","5,240.00","5,085.00","5,200.00",25.0,702
107/07/25,"359,853","1,872,224,130","5,175.00","5,225.00","5,150.00","5,225.00",25.0,500
107/07/26,"296,820","1,541,806,200","5,260.00","5,260.00","5,155.00","5,200.00",-25.0,400
107/07/27,"265,278","1,388,016,160","5,200.00","5,265.00","5,175.00","5,260.00",60.0,385
107/07/30,"433,942","2,252,957,137","5,220.00","5,235.00","5,165.00","5,180.00",-80.0,505
107/07/31,"454,658","2,338,007,250","5,150.00","5,175.00","5,090.00","5,150.00",-30.0,534
107/08/01,"865,500","4,456,960,000","5,240.00","5,330.00","5,040.00","5,050.00",-100.00,"1,054"
107/08/02,"624,131","3,141,130,655","5,080.00","5,140.00","4,995.00","5,005.00",-45.00,755
107/08/03,"429,517","2,195,507,040","5,090.00","5,135.00","5,080.00","5,130.00",+125.00,521
107/08/06,"494,266","2,546,884,900","5,180.00","5,240.00","5,115.00","5,130.00", 0.00,558
107/08/07,"446,359","2,244,237,885","5,135.00","5,135.00","4,990.00","5,015.00",-115.00,654
107/08/08,"476,462","2,415,789,050","5,035.00","5,125.00","5,015.00","5,060.00",+45.00,491
107/08/09,"227,830","1,155,428,100","5,025.00","5,100.00","4,995.00","5,100.00",+40.00,296
107/08/10,"203,280","1,032,288,200","5,110.00","5,110.00","5,060.00","5,080.00",-20.00,270
107/08/13,"1,185,999","5,647,910,345","5,070.00","5,070.00","4,575.00","4,630.00",-450.00,"1,400"
107/08/14,"938,678","4,352,027,700","4,715.00","4,760.00","4,500.00","4,630.00", 0.00,"1,117"
107/08/15,"1,417,300","6,334,512,000","4,600.00","4,600.00","4,400.00","4,455.00",-175.00,"1,544"
107/08/16,"831,517","3,758,674,765","4,355.00","4,630.00","4,350.00","4,520.00",X0.00,943
107/08/17,"475,958","2,162,029,100","4,505.00","4,650.00","4,430.00","4,430.00",-90.00,642
107/08/20,"398,017","1,803,574,730","4,450.00","4,590.00","4,450.00","4,590.00",+160.00,472
107/08/21,"659,276","3,080,002,720","4,595.00","4,730.00","4,535.00","4,700.00",+110.00,759
107/08/22,"567,746","2,617,934,380","4,695.00","4,715.00","4,490.00","4,490.00",-210.00,732
107/08/23,"507,316","2,284,542,500","4,540.00","4,560.00","4,455.00","4,485.00",-5.00,634
107/08/24,"323,162","1,451,132,910","4,470.00","4,515.00","4,465.00","4,505.00",+20.00,358
107/08/27,"318,162","1,458,132,490","4,575.00","4,615.00","4,530.00","4,615.00",+110.00,392
107/08/28,"666,352","3,161,645,240","4,715.00","4,790.00","4,695.00","4,765.00",+150.00,787
107/08/29,"363,938","1,741,684,880","4,780.00","4,840.00","4,735.00","4,760.00",-5.00,447
107/08/30,"306,277","1,458,774,600","4,815.00","4,830.00","4,710.00","4,745.00",-15.00,352
107/08/31,"355,451","1,666,108,720","4,735.00","4,740.00","4,645.00","4,705.00",-40.00,390
107/09/03,"493,244","2,325,329,000","4,755.00","4,800.00","4,640.00","4,690.00",-15.0,529
107/09/04,"685,334","3,314,638,260","4,845.00","4,890.00","4,770.00","4,890.00",200.0,857
107/09/05,"612,348","3,003,785,200","4,900.00","4,945.00","4,870.00","4,890.00",0.0,693
107/09/06,"1,055,262","4,874,064,850","4,645.00","4,695.00","4,515.00","4,640.00",-250.0,"1,190"
107/09/07,"647,914","3,023,486,500","4,600.00","4,730.00","4,580.00","4,730.00",90.0,729
107/09/10,"1,087,919","4,857,063,820","4,680.00","4,725.00","4,305.00","4,360.00",-370.0,"1,117"
107/09/11,"759,724","3,339,871,980","4,370.00","4,490.00","4,330.00","4,340.00",-20.0,937
107/09/12,"1,169,971","4,927,396,750","4,380.00","4,380.00","4,070.00","4,210.00",-130.0,"1,454"
107/09/13,"1,284,091","5,332,812,089","4,210.00","4,265.00","4,055.00","4,110.00",-100.0,"1,519"
107/09/14,"959,762","4,155,784,341","4,315.00","4,405.00","4,240.00","4,405.00",295.0,"1,119"
107/09/17,"567,665","2,456,418,534","4,410.00","4,410.00","4,285.00","4,285.00",-120.0,709
107/09/18,"2,020,422","7,976,401,370","4,200.00","4,200.00","3,860.00","3,860.00",-425.0,"2,083"
107/09/19,"1,252,697","4,846,313,300","3,865.00","3,910.00","3,810.00","3,865.00",5.0,"1,625"
107/09/20,"1,361,765","5,264,324,950","3,900.00","3,945.00","3,770.00","3,800.00",-65.0,"1,822"
107/09/21,"2,459,648","8,873,002,200","3,595.00","3,870.00","3,425.00","3,870.00",70.0,"2,506"
107/09/25,"965,647","3,612,169,190","3,760.00","3,810.00","3,680.00","3,730.00",-140.0,"1,170"
107/09/26,"473,929","1,779,791,265","3,755.00","3,785.00","3,705.00","3,770.00",40.0,678
107/09/27,"741,174","2,816,637,720","3,720.00","3,895.00","3,680.00","3,780.00",10.0,"1,080"
107/09/28,"891,072","3,327,889,960","3,825.00","3,880.00","3,630.00","3,635.00",-145.0,"1,198"
